ArticleURL,Authors,Title,Year,Source,Publisher,CitesURL,FullTextURL,Cites,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,RelatedURL
https://www.tandfonline.com/doi/abs/10.1080/10511970.2020.1733151,AA Cooper,Techniques grading: Mastery grading for proofs courses,2020,Primus,Taylor &Francis,https://scholar.google.com/scholar?cites=1472122425479789371&as_sdt=2005&sciodt=2007&hl=en,https://scholar.archive.org/work/cwtadxhmd5gali5xl2lpx6dwsm/access/wayback/https://www.tandfonline.com/doi/pdf/10.1080/10511970.2020.1733151?needAccess=true&,15,2,8/15/24 20:39,,10.1080/10511970.2020.1733151,,,,,,,15,3.75,15,1,4,"… of techniques grading within the mastery grading framework, … system meets its goals: improving the quality of student work; … of all mastery grading systems – a properly chosen technique …",https://scholar.google.com/scholar?q=related:O_ub3IsHbhQJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://arxiv.org/pdf/2111.11486#page=152,"V Akin, S Viel",1 Equity in Grading Systems: Moving Away From “Fair” Towards Transparency and Inclusion in Coordinated Calculus Courses,2023,Justice Through the Lens of Calculus,arxiv.org,,https://arxiv.org/pdf/2111.11486#page=152,0,66,8/15/24 20:39,PDF,,,,,,,,0,0,0,2,1,"… Equity issues with the block grading system were raised … to make broad changes to the grading systems. The Calculus … the structure of their grading and assessment, removing the …",https://scholar.google.com/scholar?q=related:szR9D5YvTlkJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.jstor.org/stable/23100415,KB Cox,Putting classroom grading on the table: A reform in progress,2011,American Secondary Education,JSTOR,https://scholar.google.com/scholar?cites=3890882751379989181&as_sdt=2005&sciodt=2007&hl=en,https://www.academia.edu/download/78479627/Putting_Classroom_Grading_on_the_Table.pdf,196,31,8/15/24 20:39,,,,,,,,,196,15.08,196,1,13,"… grading lags behind other reforms necessary for s practice, at a cost to students and the collective efforts of th to achieve both equity … Understanding and improving teachers' classroom …",https://scholar.google.com/scholar?q=related:veKyYj8x_zUJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://dl.acm.org/doi/abs/10.1145/3649217.3653564,BT Fine,Competency and Equity Driven Grading System for Computer Science Curriculum,2024,Proceedings of the 2024 on Innovation and …,dl.acm.org,,,0,73,8/15/24 20:39,,10.1145/3649217.3653564,,,,,,,0,0,0,1,1,"… of students and educators in implementing this grading system and assesses its initial … grading, we contribute to a deeper understanding of how competency- and equity-based grading …",https://scholar.google.com/scholar?q=related:7UD8o6xM9JUJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://dl.acm.org/doi/abs/10.1145/3545945.3569747,S Spurlock,Improving student motivation by ungrading,2023,Proceedings of the 54th ACM Technical Symposium on …,dl.acm.org,https://scholar.google.com/scholar?cites=14402397692163155074&as_sdt=2005&sciodt=2007&hl=en,https://facstaff.elon.edu/sspurlock/papers/spurlock23_ungrading.pdf,15,10,8/15/24 20:39,,10.1145/3545945.3569747,,,,,,,15,15,15,1,1,"… In attempting to put many of these ideas into practice, we have adopted a modified grading scheme with the following changes from our former traditional system: eliminating numeric …",https://scholar.google.com/scholar?q=related:gmRK02SY38cJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://arrow.tudublin.ie/creaart/61/,"S Ferns, R Hickey, H Williams","Ungrading, supporting our students through a pedagogy of care",2021,,arrow.tudublin.ie,https://scholar.google.com/scholar?cites=14316468874325296482&as_sdt=2005&sciodt=2007&hl=en,https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1066&context=creaart,13,38,8/15/24 20:39,,,,,,,,,13,4.33,4,3,3,"… away from grading in the hope of improving motivation, … unfamiliar with the practice, Ungrading may appear radical and … by any institution to conform to current practice, if what’s best …",https://scholar.google.com/scholar?q=related:YoUY3JZQrsYJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://books.google.com/books?hl=en&lr=&id=BDEWEQAAQBAJ&oi=fnd&pg=PP11&dq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&ots=CXgFageBOH&sig=ysGMJAP2-uon1Av21IuDGbd4WcA,"TR Guskey, JM Bailey",Developing grading and reporting systems for student learning,2024,,books.google.com,https://scholar.google.com/scholar?cites=12033852585554513471&as_sdt=2005&sciodt=2007&hl=en,,539,45,8/15/24 20:39,BOOK,,,,,,,,539,539,270,2,1,"… improving grading and reporting policies and practice. One of the most basic questions we needed to address was ""Why should we change our current grading … in current grading and re…",https://scholar.google.com/scholar?q=related:P45kISvVAKcJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.tandfonline.com/doi/pdf/10.1080/00193089.1983.10533811,FT Bail,Rewarding practice: An alternative grading system,1983,Improving College and University Teaching,Taylor &Francis,https://scholar.google.com/scholar?cites=11775649176573201699&as_sdt=2005&sciodt=2007&hl=en,https://www-jstor-org.libproxy.berkeley.edu/stable/27565562,5,60,8/15/24 20:39,,10.1080/00193089.1983.10533811,,,,,,,5,0.12,5,1,41,… practice through graded homework and quizzes heightened their anxiety without significantly improving performance or willingness to practice… of the quality of that practice. I constructed …,https://scholar.google.com/scholar?q=related:I01EOYmCa6MJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://digitalcommons.usu.edu/gradreports/1254/,C Bala,Grading Practice Influence on the Value of an Assigned Grade,2010,,digitalcommons.usu.edu,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=2258&context=gradreports,0,133,8/15/24 20:39,,,,,,,,,0,0,0,1,14,"This article presents results of a study of grading practice influence on the value of an assigned grade. The value of an assigned grade, as an indication of student achievement of …",https://scholar.google.com/scholar?q=related:msDpdYRh8n8J:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
http://www.cs.uni.edu/~east/GFE/positionPaper_SIGCSE2020.pdf,"A Berns, JP East",From Pointless to Point-Less Grading,2020,,cs.uni.edu,,http://www.cs.uni.edu/~east/GFE/positionPaper_SIGCSE2020.pdf,0,146,8/15/24 20:39,PDF,,,,,,,,0,0,0,2,4,… bettter grading practice can be achieved. We describe our past grading practice to provide a … exactly the overarching set of principles we were seeking in improving our grading practice. …,https://scholar.google.com/scholar?q=related:6wtpDFhFKP4J:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
