ArticleURL,Authors,Title,Year,Source,Publisher,CitesURL,FullTextURL,Cites,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,RelatedURL
https://philpapers.org/rec/VITISL,"SE Vitale, DW Concepción",Improving student learning with aspects of specifications grading,2018,,philpapers.org,https://scholar.google.com/scholar?cites=1573117125299466589&as_sdt=2005&sciodt=2007&hl=en,https://philarchive.org/archive/VITISL,14,1,8/15/24 20:39,,,,,,,,,14,2.33,7,2,6,"… traditional grading. We begin by rehearsing the central features of specifications grading and … In light of the examples, we argue that specifications grading fulfills two of Nilson’s central …",https://scholar.google.com/scholar?q=related:XfGO07DV1BUJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.tandfonline.com/doi/abs/10.1080/10511970.2020.1733151,AA Cooper,Techniques grading: Mastery grading for proofs courses,2020,Primus,Taylor &Francis,https://scholar.google.com/scholar?cites=1472122425479789371&as_sdt=2005&sciodt=2007&hl=en,https://scholar.archive.org/work/cwtadxhmd5gali5xl2lpx6dwsm/access/wayback/https://www.tandfonline.com/doi/pdf/10.1080/10511970.2020.1733151?needAccess=true&,15,2,8/15/24 20:39,,10.1080/10511970.2020.1733151,,,,,,,15,3.75,15,1,4,"… of techniques grading within the mastery grading framework, … system meets its goals: improving the quality of student work; … of all mastery grading systems – a properly chosen technique …",https://scholar.google.com/scholar?q=related:O_ub3IsHbhQJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.ccsc.org/publications/journals/SE2023.pdf#page=86,RS Mattfeld,Improving Student Motivation through an Alternative Grading System,2023,Journal of Computing Sciences in Colleges,ccsc.org,https://scholar.google.com/scholar?cites=3194443293276173968&as_sdt=2005&sciodt=2007&hl=en,https://www.ccsc.org/publications/journals/SE2023.pdf#page=86,1,3,8/15/24 20:39,PDF,,,,,,,,1,1,1,1,1,"… Several ideas for alternatives to the traditional grading system include contract grading, mastery grading, specifications grading, and ungrading. In this study, an alternative grading …",https://scholar.google.com/scholar?q=related:kPbaFkDxVCwJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.utpjournals.press/doi/abs/10.3138/jelis-2021-0062,"M Rapchak, AS Hands, MK Hensley",Moving toward equity: Experiences with ungrading,2023,Journal of Education for …,utpjournals.press,https://scholar.google.com/scholar?cites=18436604037969252932&as_sdt=2005&sciodt=2007&hl=en,,13,4,8/15/24 20:39,,10.3138/jelis-2021-0062,,,,,,,13,13,4,3,1,"… practice of ungrading, a movement embraced by a growing number of teachers and professors who see the process of grading … We discuss the limitations of traditional grading systems …",https://scholar.google.com/scholar?q=related:RJKw87D52_8J:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://journals.asm.org/doi/abs/10.1128/jmbe.00200-21,"SD Katzman, J Hurst-Kennedy, A Barrera, ...",The effect of specifications grading on students' learning and attitudes in an undergraduate-level cell biology course,2021,… of Microbiology & …,Am Soc Microbiol,https://scholar.google.com/scholar?cites=13124143650264821206&as_sdt=2005&sciodt=2007&hl=en,https://journals.asm.org/doi/pdf/10.1128/jmbe.00200-21,25,5,8/15/24 20:39,,10.1128/jmbe.00200-21,,,,,,,25,8.33,6,4,3,"… We designed a specs grading strategy in an undergraduate Cell Biology course, creating 20 … , students rely on intrinsic factors for mastery rather than extrinsic ones, thus improving …",https://scholar.google.com/scholar?q=related:1q07fx1TIrYJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://books.google.com/books?hl=en&lr=&id=XEbGEAAAQBAJ&oi=fnd&pg=PP1&dq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&ots=XLmkx7QaXm&sig=2olQy3K8o_0s-AeYvIS21nNMbMg,J Feldman,"Grading for equity: What it is, why it matters, and how it can transform schools and classrooms",2023,,books.google.com,https://scholar.google.com/scholar?cites=12610180664531203656&as_sdt=2005&sciodt=2007&hl=en,https://www.nysed.gov/sites/default/files/programs/bilingual-ed/considerations-for-progress-monitoring-for-ells-with-equity-in-mind-2020-07-06.pdf,369,6,8/15/24 20:39,BOOK,,,,,,,,369,369,369,1,1,"… of grading when talking about equity, but in Grading for Equity… us see why grading is an integral part of an equity agenda. … or what makes a grading practice equitable. We maintain the …",https://scholar.google.com/scholar?q=related:SLbhtoBcAK8J:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.tandfonline.com/doi/abs/10.1080/87567555.2021.2018396,"AC Streifer, MS Palmer",Is specifications grading right for me?: A readiness assessment to help instructors decide,2023,College Teaching,Taylor &Francis,https://scholar.google.com/scholar?cites=17492550311858520330&as_sdt=2005&sciodt=2007&hl=en,,10,7,8/15/24 20:39,,10.1080/87567555.2021.2018396,,,,,,,10,10,5,2,1,… of specifications grading include: the relationship between grades and student motivation; transparency and educational equity; … Specifications grading is a method of assessing student …,https://scholar.google.com/scholar?q=related:CsH5QdQFwvIJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://www.academia.edu/download/94788920/386917166.pdf,"LJ Link, TR Guskey",How traditional grading contribute to student inequities and how to fix it,2019,Curriculum in Context,academia.edu,https://scholar.google.com/scholar?cites=10075209493781316422&as_sdt=2005&sciodt=2007&hl=en,https://www.academia.edu/download/94788920/386917166.pdf,14,8,8/15/24 20:39,PDF,,,,,,,,14,2.8,7,2,5,"… grading criteria from student to student, taking into account individual circumstances. Although teachers defend this practice … ensure far greater equity in grading at all education levels. …",https://scholar.google.com/scholar?q=related:RoN6YqdV0osJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://ieeexplore.ieee.org/abstract/document/1263320/,"RL Armacost, J Pet-Armacost",Using mastery-based grading to facilitate learning,2003,33rd Annual Frontiers in …,ieeexplore.ieee.org,https://scholar.google.com/scholar?cites=3529240660519030474&as_sdt=2005&sciodt=2007&hl=en,https://www.researchgate.net/profile/Julia-Pet-Armacost/publication/4054523_Using_mastery-based_grading_to_facilitate_learning/links/00b7d52a208867021a000000/Using-mastery-based-grading-to-facilitate-learning.pdf,52,9,8/15/24 20:39,,,,,,,,,52,2.48,26,2,21,"… Some of the increase is likely due to improving test-taking skills, but since there was an increasing difficulty in the test questions, there is a strong possibility that this method is …",https://scholar.google.com/scholar?q=related:yg4ama5h-jAJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
https://dl.acm.org/doi/abs/10.1145/3545945.3569747,S Spurlock,Improving student motivation by ungrading,2023,Proceedings of the 54th ACM Technical Symposium on …,dl.acm.org,https://scholar.google.com/scholar?cites=14402397692163155074&as_sdt=2005&sciodt=2007&hl=en,https://facstaff.elon.edu/sspurlock/papers/spurlock23_ungrading.pdf,15,10,8/15/24 20:39,,10.1145/3545945.3569747,,,,,,,15,15,15,1,1,"… In attempting to put many of these ideas into practice, we have adopted a modified grading scheme with the following changes from our former traditional system: eliminating numeric …",https://scholar.google.com/scholar?q=related:gmRK02SY38cJ:scholar.google.com/&scioq=grading%7C%22mastery+grading%22%7C%22alternative+grading%22%7C%22specification+grading%22%7C%22specifications+grading%22%7C%22mastery+learning%22%7C%22specs+grading%22%7C%22grading+for+equity%22%7C%22ungrading%22%7C%22un+grading%22%7C%22contract+grading%22+practice%7Cstrategy%7Ctechnique%7Ctactic%7Cmethod+equity%7Cimproving&hl=en&as_sdt=2007
